Airport_Code,Timezone,Ocorrencias
KBXK,US/Mountain,30
KBYG,US/Mountain,2
KBYH,US/Central,6
KBYI,US/Mountain,2
KBZN,US/Mountain,89
KC09,US/Central,18
KC29,US/Central,37
KC35,US/Central,3
KC75,US/Central,3
KCAD,US/Eastern,5
KCAE,US/Eastern,484
KCAG,US/Mountain,5
KCAK,US/Eastern,51
KCAV,US/Central,3
KCBE,US/Eastern,25
KCBF,US/Central,16
KCBG,US/Central,26
KCCA,US/Central,2
KCCO,US/Eastern,39
KCCR,US/Pacific,747
KCCU,US/Mountain,81
KCCY,US/Central,5
KCDC,US/Mountain,53
KCDH,US/Central,2
KCDN,US/Eastern,94
KCDW,US/Eastern,219
KCEC,US/Pacific,31
KCEF,US/Eastern,34
KCEU,US/Eastern,156
KCEW,US/Central,15
KCEZ,US/Mountain,3
KCFE,US/Central,52
KCFS,US/Eastern,4
KCGC,US/Eastern,21
KCGE,US/Eastern,20
KCGF,US/Eastern,85
KCGS,US/Eastern,499
KCGZ,US/Mountain,20
KCHA,US/Eastern,329
KCHD,US/Mountain,110
KCHJ,US/Mountain,3
KCHO,US/Eastern,99
KCHS,US/Eastern,224
KCIC,US/Pacific,78
KCID,US/Central,66
KCIR,US/Central,2
KCJR,US/Eastern,24
KCKB,US/Eastern,16
KCKF,US/Eastern,15
KCKI,US/Eastern,47
KCKP,US/Central,2
KCKV,US/Central,35
KCLE,US/Eastern,211
KCLI,US/Central,2
KCLL,US/Central,2
KCLM,US/Pacific,8
KCLS,US/Pacific,27
KCLT,US/Eastern,1876
KCMA,US/Pacific,132
KCMH,US/Eastern,548
KCMI,US/Central,9
KCMR,US/Mountain,46
KCMS,US/Mountain,6
KCMX,US/Eastern,3
KCMY,US/Central,5
KCNC,US/Central,3
KCNI,US/Eastern,28
KCNO,US/Pacific,84
KCNW,US/Central,7
KCNY,US/Mountain,17
KCOE,US/Pacific,20
KCOF,US/Eastern,45
KCON,US/Eastern,75
KCOQ,US/Central,41
KCOS,US/Mountain,146
KCOU,US/Central,16
KCPC,US/Eastern,40
KCPK,US/Eastern,34
KCPR,US/Mountain,2
KCPS,US/Central,280
KCPW,US/Mountain,5
KCQF,US/Central,7
KCQM,US/Central,5
KCQT,US/Pacific,1599
KCQW,US/Eastern,16
KCQX,US/Eastern,6
KCRE,US/Eastern,55
KCRG,US/Eastern,103
KCRQ,US/Pacific,297
KCRV,US/Mountain,13
KCRW,US/Eastern,121
KCSG,US/Eastern,18
KCSV,US/Central,15
KCTB,US/Mountain,6
KCTD,US/Mountain,10
KCTJ,US/Eastern,20
KCTY,US/Eastern,16
KCTZ,US/Eastern,8
KCUB,US/Eastern,363
KCUL,US/Central,3
KCVG,US/Eastern,233
KCVH,US/Pacific,75
KCVO,US/Pacific,101
KCVX,US/Eastern,2
KCWA,US/Central,3
KCWC,US/Central,38
KCWF,US/Central,19
KCWI,US/Central,6
KCWV,US/Eastern,3
KCXO,US/Central,13
KCXP,US/Pacific,56
KCXY,US/Eastern,349
KCYS,US/Mountain,6
KCZK,US/Pacific,115
KD39,US/Central,31
KD95,US/Eastern,39
KDAA,US/Eastern,507
KDAB,US/Eastern,21
KDAG,US/Pacific,23
KDAL,US/Central,1204
KDAN,US/Eastern,40
KDAW,US/Eastern,29
KDAY,US/Eastern,450
KDBN,US/Eastern,3
KDBQ,US/Central,3
KDCA,US/Eastern,912
KDCM,US/Eastern,27
KDCU,US/Central,63
KDCY,US/Eastern,4
KDDC,US/Central,4
KDDH,US/Eastern,15
KDEC,US/Central,8
KDED,US/Eastern,37
KDEH,US/Central,5
KDEN,US/Mountain,65
KDEQ,US/Central,2
KDET,US/Eastern,1376
KDEW,US/Pacific,6
KDFI,US/Eastern,8
KDFW,US/Central,206
KDGW,US/Mountain,2
KDHN,US/Central,33
KDKB,US/Central,25
KDKK,US/Eastern,52
KDLH,US/Central,14
KDLL,US/Central,22
KDLN,US/Mountain,8
KDLS,US/Pacific,88
KDLZ,US/Eastern,105
KDMA,US/Mountain,356
KDMN,US/Mountain,4
KDMO,US/Central,2
KDMW,US/Eastern,63
KDNL,US/Eastern,166
KDNN,US/Eastern,20
KDNV,US/Central,9
KDOV,US/Eastern,21
KDPA,US/Central,1513
KDPG,US/Mountain,4
KDPL,US/Eastern,4
KDRA,US/Pacific,3
KDRO,US/Mountain,4
KDSM,US/Central,250
KDSV,US/Eastern,7
KDTL,US/Central,9
KDTN,US/Central,94
KDTO,US/Central,59
KDTS,US/Central,21
KDTW,US/Eastern,295
KDUH,US/Eastern,89
KDUJ,US/Eastern,87
KDVN,US/Central,25
KDVO,US/Pacific,157
KDVP,US/Central,5
KDVT,US/Mountain,257
KDWH,US/Central,122
KDXR,US/Eastern,353
KDYA,US/Central,6
KDYB,US/Eastern,147
KDYL,US/Eastern,50
KDYR,US/Central,4
KDYT,US/Central,14
KDZJ,US/Eastern,10
KE11,US/Central,2
KE16,US/Pacific,89
KE33,US/Mountain,2
KEAT,US/Pacific,6
KEAU,US/Central,28
KEBS,US/Central,5
KECP,US/Eastern,20
KEDC,US/Central,192
KEDJ,US/Eastern,13
KEDU,US/Pacific,116
KEDW,US/Pacific,2
KEED,US/Pacific,9
KEEN,US/Eastern,22
KEEO,US/Mountain,2
KEET,US/Central,113
KEFD,US/Central,70
KEFK,US/Eastern,2
KEFT,US/Central,5
KEGE,US/Mountain,25
KEHO,US/Eastern,127
KEHY,US/Mountain,2
KEIK,US/Mountain,50
KEKA,US/Pacific,41
KEKM,US/Eastern,8
KEKO,US/Pacific,14
KELD,US/Central,3
KELM,US/Eastern,38
KELN,US/Pacific,4
KELO,US/Central,4
KELP,US/Mountain,222
KELY,US/Pacific,9
KELZ,US/Eastern,9
KEMT,US/Pacific,863
KEMV,US/Eastern,20
KENL,US/Central,2
KENV,US/Mountain,4
KENW,US/Central,76
KEOE,US/Eastern,78
KEOK,US/Central,2
KEPH,US/Pacific,4
KEPZ,US/Mountain,2
KEQY,US/Eastern,318
KERI,US/Eastern,32
KERY,US/Eastern,7
KESN,US/Eastern,18
KETB,US/Central,33
KETC,US/Eastern,6
KEUF,US/Central,3
KEUG,US/Pacific,295
KEUL,US/Mountain,8
KEVB,US/Eastern,17
KEVM,US/Central,25
KEVV,US/Central,10
KEVW,US/Mountain,8
KEWB,US/Eastern,22
KEWN,US/Eastern,6
KEWR,US/Eastern,678
KEXX,US/Eastern,19
KEYE,US/Eastern,447
KEYF,US/Eastern,4
KEZF,US/Eastern,162
KEZM,US/Eastern,9
KEZS,US/Central,2
KF46,US/Central,34
KF70,US/Pacific,229
KFAF,US/Eastern,17
KFAM,US/Central,2
KFAR,US/Central,24
KFAT,US/Pacific,490
KFAY,US/Eastern,26
KFBG,US/Eastern,11
KFBL,US/Central,35
KFBR,US/Mountain,3
KFCI,US/Eastern,387
KFCM,US/Central,470
KFCS,US/Mountain,31
KFDK,US/Eastern,253
KFDW,US/Eastern,150
KFDY,US/Eastern,21
KFEP,US/Central,2
KFET,US/Central,7
KFEW,US/Mountain,17
KFFC,US/Eastern,25
KFFM,US/Central,5
KFFO,US/Eastern,376
KFFT,US/Eastern,13
KFFX,US/Eastern,9
KFFZ,US/Mountain,76
KFHB,US/Eastern,18
KFHU,US/Mountain,2
KFIG,US/Eastern,108
KFIT,US/Eastern,44
KFKA,US/Central,23
KFKL,US/Eastern,24
KFKN,US/Eastern,20
KFKS,US/Eastern,2
KFLD,US/Central,9
KFLG,US/Mountain,61
KFLL,US/Eastern,272
KFLO,US/Eastern,176
KFLY,US/Mountain,4
KFME,US/Eastern,155
KFMH,US/Eastern,14
KFMM,US/Mountain,10
KFMY,US/Eastern,170
KFNL,US/Mountain,95
KFNT,US/Eastern,2308
KFOD,US/Central,2
KFOK,US/Eastern,27
KFOT,US/Pacific,19
KFPK,US/Eastern,15
KFPR,US/Eastern,25
KFQD,US/Eastern,22
KFRG,US/Eastern,560
KFRM,US/Central,18
KFSD,US/Central,5
KFSE,US/Central,6
KFSK,US/Central,2
KFSM,US/Central,22
KFSO,US/Eastern,3
KFST,US/Central,3
KFTG,US/Mountain,4
KFTK,US/Eastern,4
KFTW,US/Central,78
KFTY,US/Eastern,469
KFUL,US/Pacific,852
KFVX,US/Eastern,43
KFWA,US/Eastern,31
KFWD,US/Central,219
KFWN,US/Eastern,22
KFWS,US/Central,124
KFXE,US/Eastern,175
KFYG,US/Central,18
KFYJ,US/Eastern,53
KFYV,US/Central,12
KFZG,US/Eastern,2
KFZY,US/Eastern,29
KGAD,US/Central,23
KGAI,US/Eastern,226
KGBG,US/Central,4
KGBN,US/Mountain,5
KGCD,US/Pacific,35
KGCM,US/Central,3
KGCN,US/Mountain,3
KGDB,US/Central,9
KGDJ,US/Central,8
KGDV,US/Mountain,8
KGED,US/Eastern,11
KGEG,US/Pacific,39
KGEU,US/Mountain,257
KGEV,US/Eastern,5
KGEZ,US/Eastern,22
KGFK,US/Central,5
KGFL,US/Eastern,109
KGGE,US/Eastern,34
KGGG,US/Central,6
KGGI,US/Central,11
KGGP,US/Eastern,3
KGGW,US/Mountain,2
KGHG,US/Eastern,24
KGHW,US/Central,2
KGIF,US/Eastern,21
KGJT,US/Mountain,20
KGKJ,US/Eastern,7
KGKY,US/Central,69
KGLR,US/Eastern,2
KGLS,US/Central,7
KGLW,US/Central,7
KGMU,US/Eastern,554
KGNT,US/Mountain,8
KGNV,US/Eastern,87
KGOK,US/Central,6
KGON,US/Eastern,66
KGOO,US/Pacific,131
KGOV,US/Eastern,3
KGPH,US/Central,43
KGPI,US/Mountain,48
KGPM,US/Central,128
KGPT,US/Central,7
KGPZ,US/Central,36
KGRB,US/Central,61
KGRD,US/Eastern,98
KGRF,US/Pacific,59
KGRR,US/Eastern,1319
KGSB,US/Eastern,5
KGSH,US/Eastern,8
KGSO,US/Eastern,155
KGSP,US/Eastern,331
KGTB,US/Eastern,3
KGTF,US/Mountain,17
KGTU,US/Central,15
KGUP,US/Mountain,5
KGUS,US/Eastern,8
KGVL,US/Eastern,30
KGVT,US/Central,2
KGWB,US/Eastern,15
KGWW,US/Eastern,6
KGXA,US/Pacific,55
KGXY,US/Mountain,11
KGYH,US/Eastern,418
KGYL,US/Central,38
KGYR,US/Mountain,55
KGYY,US/Central,163
KGZH,US/Central,4
KH21,US/Central,14
KHAF,US/Pacific,22
KHAI,US/Eastern,12
KHAO,US/Eastern,129
KHBG,US/Central,40
KHBI,US/Eastern,15
KHCD,US/Central,17
KHDC,US/Central,26
KHDN,US/Mountain,3
KHEF,US/Eastern,129
KHEY,US/Central,4
KHFD,US/Eastern,492
KHFF,US/Eastern,6
KHFJ,US/Central,4
KHGR,US/Eastern,136
KHHR,US/Pacific,803
KHIB,US/Central,14
KHIE,US/Eastern,4
KHIF,US/Mountain,157
KHIO,US/Pacific,142
KHJH,US/Central,3
KHJO,US/Pacific,78
KHKA,US/Central,4
KHKS,US/Central,62
KHKY,US/Eastern,28
KHLG,US/Eastern,28
KHLN,US/Mountain,33
KHLX,US/Eastern,49
KHMM,US/Mountain,17
KHMZ,US/Eastern,34
KHNB,US/Eastern,11
KHND,US/Pacific,5
KHNR,US/Central,18
KHNZ,US/Eastern,14
KHOE,US/Eastern,3
KHOP,US/Central,2
KHOT,US/Central,17
KHOU,US/Central,274
KHPN,US/Eastern,1462
KHQM,US/Pacific,11
KHQU,US/Eastern,11
KHQZ,US/Central,335
KHRI,US/Pacific,79
KHRJ,US/Eastern,74
KHRT,US/Central,35
KHRX,US/Central,2
KHSA,US/Central,3
KHSP,US/Eastern,51
KHST,US/Eastern,164
KHSV,US/Central,29
KHTL,US/Eastern,6
KHTO,US/Eastern,6
KHTS,US/Eastern,43
KHUA,US/Central,140
KHUF,US/Eastern,19
KHUM,US/Central,7
KHVN,US/Eastern,195
KHVR,US/Mountain,7
KHVS,US/Eastern,58
KHWD,US/Pacific,468
KHWO,US/Eastern,483
KHWV,US/Eastern,50
KHWY,US/Eastern,33
KHXD,US/Eastern,29
KHYA,US/Eastern,14
KHYI,US/Central,19
KHYR,US/Central,2
KHYW,US/Eastern,128
KHYX,US/Eastern,47
KHZX,US/Central,8
KHZY,US/Eastern,13
KI69,US/Eastern,58
KI75,US/Central,12
KIAB,US/Central,8
KIAD,US/Eastern,530
KIAG,US/Eastern,45
KIAH,US/Central,324
KICL,US/Central,2
KICT,US/Central,7
KIDA,US/Mountain,5
KIDI,US/Eastern,12
KIDV,US/Mountain,4
KIER,US/Central,2
KIFA,US/Central,7
KIFP,US/Mountain,5
KIGM,US/Mountain,22
KIGQ,US/Central,252
KIGX,US/Eastern,64
KIIB,US/Central,2
KIIY,US/Eastern,7
KIJD,US/Eastern,74
KIJX,US/Central,5
KIKK,US/Central,18
KIKV,US/Central,145
KIKW,US/Eastern,14
KILG,US/Eastern,307
KILM,US/Eastern,42
KILN,US/Eastern,27
KIMM,US/Eastern,40
KIMT,US/Central,3
KIND,US/Eastern,373
KINF,US/Eastern,19
KINJ,US/Central,7
KINK,US/Central,3
KINL,US/Central,3
KINT,US/Eastern,94
KINW,US/Mountain,10
KIOB,US/Eastern,5
KIOW,US/Central,51
KIPJ,US/Eastern,18
KIPT,US/Eastern,123
KIRS,US/Eastern,12
KISM,US/Eastern,303
KISO,US/Eastern,7
KISP,US/Eastern,307
KISW,US/Central,2
KITH,US/Eastern,3
KITR,US/Mountain,15
KIWA,US/Mountain,46
KIWI,US/Eastern,2
KIXA,US/Eastern,11
KIXD,US/Central,48
KIYK,US/Pacific,18
KIZA,US/Pacific,16
KJAC,US/Mountain,3
KJAN,US/Central,44
KJAX,US/Eastern,162
KJBR,US/Central,14
KJEF,US/Central,3
KJER,US/Mountain,11
KJFK,US/Eastern,567
KJFX,US/Central,17
KJFZ,US/Eastern,12
KJGG,US/Eastern,35
KJHW,US/Eastern,15
KJKJ,US/Central,2
KJLN,US/Central,4
KJMR,US/Central,13
KJMS,US/Central,5
KJNW,US/Pacific,31
KJNX,US/Eastern,44
KJOT,US/Central,80
KJQF,US/Eastern,533
KJRB,US/Eastern,421
KJST,US/Eastern,90
KJVL,US/Central,57
KJWY,US/Central,12
KJXN,US/Eastern,57
KJYG,US/Central,8
KJYL,US/Eastern,8
KJYM,US/Eastern,2
KJYO,US/Eastern,209
KJZI,US/Eastern,21
KK22,US/Eastern,4
KKLS,US/Pacific,60
KL35,US/Pacific,31
KL38,US/Central,47
KLAA,US/Mountain,6
KLAF,US/Eastern,24
KLAL,US/Eastern,30
KLAN,US/Eastern,92
KLAR,US/Mountain,14
KLAS,US/Pacific,11
KLAX,US/Pacific,123
KLBE,US/Eastern,132
KLBF,US/Central,4
KLBR,US/Central,3
KLBT,US/Eastern,8
KLBX,US/Central,9
KLCI,US/Eastern,36
KLCK,US/Eastern,82
KLCQ,US/Eastern,61
KLDJ,US/Eastern,504
KLEB,US/Eastern,15
KLEE,US/Eastern,64
KLEW,US/Eastern,11
KLEX,US/Eastern,132
KLFI,US/Eastern,86
KLFK,US/Central,3
KLFT,US/Central,147
KLGA,US/Eastern,1814
KLGB,US/Pacific,531
KLGC,US/Eastern,15
KLGD,US/Pacific,79
KLGU,US/Mountain,5
KLHM,US/Pacific,78
KLHQ,US/Eastern,34
KLHW,US/Eastern,9
KLHX,US/Mountain,8
KLHZ,US/Eastern,171
KLIC,US/Mountain,10
KLIT,US/Central,76
KLJF,US/Central,11
KLKR,US/Eastern,62
KLKU,US/Eastern,18
KLKV,US/Pacific,20
KLLQ,US/Central,9
KLMO,US/Mountain,29
KLMT,US/Pacific,145
KLNC,US/Central,37
KLNK,US/Central,15
KLNP,US/Eastern,5
KLNR,US/Central,2
KLNS,US/Eastern,774
KLOL,US/Pacific,2
KLOM,US/Eastern,1235
KLOR,US/Central,7
KLOT,US/Central,310
KLOU,US/Eastern,268
KLOZ,US/Eastern,4
KLPC,US/Pacific,22
KLPR,US/Eastern,31
KLQK,US/Eastern,89
KLRD,US/Central,2
KLRF,US/Central,19
KLRJ,US/Central,2
KLRO,US/Eastern,11
KLRU,US/Mountain,5
KLSE,US/Central,25
KLSF,US/Eastern,7
KLSV,US/Pacific,5
KLUA,US/Eastern,81
KLUF,US/Mountain,42
KLUK,US/Eastern,381
KLUM,US/Central,16
KLUX,US/Eastern,100
KLVJ,US/Central,15
KLVK,US/Pacific,483
KLVM,US/Mountain,50
KLVN,US/Central,104
KLVS,US/Mountain,5
KLWA,US/Eastern,17
KLWB,US/Eastern,6
KLWC,US/Central,3
KLWD,US/Central,2
KLWM,US/Eastern,243
KLWS,US/Pacific,3
KLWT,US/Mountain,9
KLWV,US/Central,2
KLXL,US/Central,30
KLXT,US/Central,254
KLXV,US/Mountain,21
KLYH,US/Eastern,61
KLYV,US/Central,18
KLZK,US/Central,28
KLZU,US/Eastern,127
KM16,US/Central,15
KM19,US/Central,4
KM30,US/Central,2
KM46,US/Mountain,17
KM89,US/Central,5
KMAE,US/Pacific,155
KMAI,US/Central,27
KMAN,US/Mountain,73
KMAO,US/Eastern,85
KMBS,US/Eastern,21
KMCC,US/Pacific,770
KMCE,US/Pacific,109
KMCF,US/Eastern,42
KMCI,US/Central,43
KMCJ,US/Central,1283
KMCN,US/Eastern,72
KMCO,US/Eastern,534
KMCW,US/Central,8
KMDD,US/Central,2
KMDQ,US/Central,53
KMDT,US/Eastern,155
KMDW,US/Central,1796
KMEB,US/Eastern,6
KMEH,US/Pacific,12
KMEI,US/Central,9
KMEM,US/Central,226
KMER,US/Pacific,108
KMEZ,US/Central,2
KMFD,US/Eastern,26
KMFE,US/Central,2
KMFI,US/Central,3
KMFR,US/Pacific,182
KMFV,US/Eastern,7
KMGC,US/Central,17
KMGE,US/Eastern,223
KMGG,US/Central,72
KMGJ,US/Eastern,40
KMGM,US/Central,10
KMGW,US/Eastern,35
KMGY,US/Eastern,351
KMHR,US/Pacific,385
KMHS,US/Pacific,39
KMHT,US/Eastern,110
KMHV,US/Pacific,23
KMIA,US/Eastern,1099
KMIC,US/Central,803
KMIE,US/Eastern,36
KMIV,US/Eastern,30
KMIW,US/Central,4
KMJQ,US/Central,22
KMJX,US/Eastern,40
KMKC,US/Central,416
KMKE,US/Central,248
KMKG,US/Eastern,55
KMKJ,US/Eastern,32
KMKL,US/Central,10
KMKS,US/Eastern,62
KMKT,US/Central,87
KMKY,US/Eastern,7
KMLB,US/Eastern,68
KMLD,US/Mountain,31
KMLE,US/Central,613
KMLF,US/Mountain,31
KMLI,US/Central,14
KMLJ,US/Eastern,7
KMLP,US/Pacific,13
KMLS,US/Mountain,4
KMLU,US/Central,2
KMMH,US/Pacific,21
KMMI,US/Eastern,11
KMMK,US/Eastern,221
KMML,US/Central,13
KMMT,US/Eastern,29
KMMU,US/Eastern,177
KMMV,US/Pacific,72
KMNH,US/Mountain,63
KMNI,US/Eastern,49
KMNN,US/Eastern,16
KMOB,US/Central,45
KMOD,US/Pacific,353
KMOP,US/Eastern,4
KMOT,US/Central,2
KMPO,US/Eastern,78
KMPV,US/Eastern,7
KMQE,US/Eastern,91
KMQJ,US/Eastern,254
KMQS,US/Eastern,95
KMQY,US/Central,68
KMRB,US/Eastern,39
KMRC,US/Central,14
KMRJ,US/Central,5
KMRN,US/Eastern,14
KMRT,US/Eastern,22
KMRY,US/Pacific,69
KMSL,US/Central,9
KMSN,US/Central,124
KMSO,US/Mountain,63
KMSP,US/Central,1173
KMSS,US/Eastern,5
KMSV,US/Eastern,18
KMSY,US/Central,42
KMTC,US/Eastern,85
KMTH,US/Eastern,12
KMTJ,US/Mountain,3
KMTN,US/Eastern,212
KMTO,US/Central,5
KMTV,US/Eastern,22
KMTW,US/Central,7
KMUI,US/Eastern,80
KMUL,US/Eastern,17
KMUO,US/Mountain,5
KMUT,US/Central,4
KMVE,US/Central,7
KMVN,US/Central,2
KMWA,US/Central,7
KMWC,US/Central,372
KMWH,US/Pacific,5
KMWK,US/Eastern,15
KMWL,US/Central,6
KMWM,US/Central,19
KMWO,US/Eastern,18
KMXF,US/Central,219
KMXO,US/Central,5
KMYF,US/Pacific,280
KMYL,US/Mountain,6
KMYR,US/Eastern,173
KMYV,US/Pacific,117
KMZH,US/Central,15
KMZZ,US/Eastern,8
KN03,US/Eastern,9
KNAK,US/Eastern,92
KNBC,US/Eastern,81
KNBG,US/Central,10
KNBJ,US/Central,14
KNCA,US/Eastern,7
KNDZ,US/Central,19
KNEL,US/Eastern,4
KNEW,US/Central,153
KNFE,US/Eastern,3
KNFG,US/Pacific,122
KNFJ,US/Central,134
KNFL,US/Pacific,31
KNFW,US/Central,47
KNGU,US/Eastern,35
KNHZ,US/Eastern,24
KNID,US/Pacific,12
KNIP,US/Eastern,322
KNKA,US/Central,162
KNKX,US/Pacific,170
KNLC,US/Pacific,98
KNMM,US/Central,5
KNPA,US/Central,48
KNQA,US/Central,89
KNQX,US/Eastern,2
KNRB,US/Eastern,3
KNRS,US/Pacific,78
KNSE,US/Central,25
KNTU,US/Eastern,42
KNUI,US/Eastern,5
KNUQ,US/Pacific,142
KNUW,US/Pacific,7
KNXF,US/Pacific,38
KNXP,US/Pacific,2
KNYC,US/Eastern,529
KNYG,US/Eastern,78
KNYL,US/Mountain,10
KNZY,US/Pacific,10
KO22,US/Pacific,158
KO54,US/Pacific,7
KO69,US/Pacific,151
KO86,US/Pacific,6
KO87,US/Pacific,47
KOAJ,US/Eastern,6
KOAK,US/Pacific,653
KOBE,US/Eastern,23
KOCF,US/Eastern,194
