Airport_Code,Timezone,Ocorrencias,Airport_Name
KATW,US/Central,50,Appleton International Airport
KAUD,US/Pacific,432,
KAUG,US/Eastern,9,Augusta State Airport
KAUM,US/Central,16,Austin Municipal Airport
KAUN,US/Pacific,123,Auburn Municipal Airport
KAUO,US/Central,16,Auburn University Regional Airport
KAUS,US/Central,404,Austin Bergstrom International Airport
KAUW,US/Central,10,Wausau Downtown Airport
KAVC,US/Eastern,57,Mecklenburg Brunswick Regional Airport
KAVL,US/Eastern,246,Asheville Regional Airport
KAVP,US/Eastern,112,Wilkes Barre Scranton International Airport
KAWG,US/Central,2,Washington Municipal Airport
KAWM,US/Central,44,West Memphis Municipal Airport
KAWN,US/Central,14,
KAWO,US/Pacific,102,Arlington Municipal Airport
KAXA,US/Central,5,Algona Municipal Airport
KAXH,US/Central,27,Houston Southwest Airport
KAXN,US/Central,49,Chandler Field
KAYS,US/Eastern,2,Waycross Ware County Airport
KAZC,US/Mountain,5,Colorado City Municipal Airport
KAZE,US/Eastern,3,Hazlehurst Airport
KAZO,US/Eastern,95,Kalamazoo Battle Creek International Airport
KB23,US/Pacific,17,
KBAB,US/Pacific,10,Beale Air Force Base
KBAC,US/Central,4,Barnes County Municipal Airport
KBAD,US/Central,34,Barksdale Air Force Base
KBAF,US/Eastern,13,Westfield-Barnes Regional Airport
KBAK,US/Eastern,37,Columbus Municipal Airport
KBAN,US/Pacific,21,
KBAZ,US/Central,13,New Braunfels Municipal Airport
KBBB,US/Central,3,Benson Municipal Airport
KBBP,US/Eastern,28,Marlboro County Jetport - H E Avent Field Airport
KBCB,US/Eastern,43,Virginia Tech Montgomery Executive Airport
KBCE,US/Mountain,9,Bryce Canyon Airport
KBCK,US/Central,10,Black River Falls Area Airport
KBCT,US/Eastern,132,Boca Raton Airport
KBDH,US/Central,20,Willmar Municipal Airport John L Rice Field (2006)
KBDL,US/Eastern,97,Bradley International Airport
KBDN,US/Pacific,153,Bend Municipal Airport
KBDR,US/Eastern,341,Igor I Sikorsky Memorial Airport
KBDU,US/Mountain,35,Boulder Municipal Airport
KBED,US/Eastern,493,Laurence G Hanscom Field
KBEH,US/Eastern,42,Southwest Michigan Regional Airport
KBFD,US/Eastern,26,Bradford Regional Airport
KBFI,US/Pacific,981,Boeing Field King County International Airport
KBFL,US/Pacific,442,Meadows Field
KBFM,US/Central,108,Mobile Downtown Airport
KBGD,US/Central,2,Hutchinson County Airport
KBGF,US/Eastern,11,Winchester Municipal Airport
